time,position,velocity,acceleration,light_1,light_2,light_3,light_4,light_5,light_6,light_7,light_8,light_9,light_10,light_11
0.0,2370.5,5.0,0.0,1,1,0,0,0,0,0,0,0,0,0
0.1,2371.00019448144,5.00194481436119,0.0194481436118963,1,1,0,0,0,0,0,0,0,0,0
0.2,2371.50077792574,5.00583444308357,0.0388962872237926,1,1,0,0,0,0,0,0,0,0,0
0.3,2372.00194481436,5.01166888616714,0.0583444308356889,1,1,0,0,0,0,0,0,0,0,0
0.4,2372.50388962872,5.0194481436119,0.0777925744475851,1,1,0,0,0,0,0,0,0,0,0
0.5,2373.00680685026,5.02917221541784,0.0972407180594814,1,1,1,1,0,0,0,0,0,0,0
0.6,2373.51089096042,5.04084110158498,0.116688861671378,1,1,1,1,0,0,0,0,0,0,0
0.7,2374.01633644063,5.05445480211331,0.136137005283274,1,1,1,1,0,0,0,0,0,0,0
0.8,2374.52333777233,5.07001331700283,0.15558514889517,1,1,1,1,0,0,0,0,0,0,0
0.9,2375.03208943696,5.08751664625353,0.175033292507067,1,1,1,1,0,0,0,0,0,0,0
1.0,2375.54278591595,5.10696478986543,0.194481436118963,1,1,1,1,0,0,0,0,0,0,0
1.1,2376.0555514304,5.12765514458138,0.206903547159492,1,1,1,1,0,0,0,0,0,0,0
1.2,2376.57051020144,5.14958771040138,0.219325658200021,1,1,1,1,0,0,0,0,0,0,0
1.3,2377.08778645018,5.17276248732544,0.231747769240549,1,1,1,1,0,0,0,0,0,0,0
1.4,2377.60750439771,5.19717947535354,0.244169880281078,1,1,1,1,0,0,0,0,0,0,0
1.5,2378.12978826516,5.2228386744857,0.256591991321607,1,1,1,1,0,0,0,0,0,0,0
1.6,2378.65476227363,5.24974008472192,0.269014102362136,1,1,1,1,0,0,0,0,0,0,0
1.7,2379.18255064424,5.27788370606218,0.281436213402665,1,1,1,1,0,0,0,0,0,0,0
1.8,2379.71327759809,5.3072695385065,0.293858324443194,1,1,1,1,0,0,0,0,0,0,0
1.9,2380.2470673563,5.33789758205488,0.306280435483723,1,1,1,1,0,0,0,0,0,0,0
2.0,2380.78404413997,5.3697678367073,0.318702546524251,1,1,1,1,0,0,0,0,0,0,0
2.1,2381.32428352053,5.40239380566309,0.326259689557913,1,1,1,1,0,0,0,0,0,0,0
2.2,2381.86786106943,5.43577548892225,0.333816832591574,1,1,1,1,0,0,0,0,0,0,0
2.3,2382.41485235807,5.46991288648477,0.341373975625235,1,1,1,1,0,0,0,0,0,0,0
2.4,2382.96533295791,5.50480599835066,0.348931118658896,1,1,1,1,0,0,0,0,0,0,0
2.5,2383.51937844036,5.54045482451992,0.356488261692557,1,1,1,1,0,0,0,0,0,0,0
2.6,2384.07706437686,5.57685936499254,0.364045404726218,1,1,1,1,0,0,0,0,0,0,0
2.7,2384.63846633884,5.61401961976853,0.371602547759879,1,1,1,1,0,0,0,0,0,0,0
2.8,2385.20365989772,5.65193558884788,0.37915969079354,1,1,1,1,0,0,0,0,0,0,0
2.9,2385.77272062494,5.6906072722306,0.386716833827201,1,1,1,1,0,0,0,0,0,0,0
3.0,2386.34572409194,5.73003466991669,0.394273976860862,1,1,1,1,0,0,0,0,0,0,0
3.1,2386.9227122537,5.76988161768369,0.398469477670015,1,1,1,1,0,0,0,0,0,0,0
3.2,2387.50372706526,5.81014811553161,0.402664978479167,1,1,1,1,0,0,0,0,0,0,0
3.3,2388.0888104816,5.85083416346044,0.40686047928832,1,1,1,1,0,0,0,0,0,0,0
3.4,2388.67800445775,5.89193976147018,0.411055980097472,1,1,1,1,0,0,0,0,0,0,0
3.5,2389.27135094871,5.93346490956085,0.415251480906625,1,1,1,1,0,0,0,0,0,0,0
3.6,2389.86889190948,5.97540960773242,0.419446981715777,1,1,1,1,0,0,0,0,0,0,0
3.7,2390.47066929508,6.01777385598492,0.423642482524929,1,1,1,1,0,0,0,0,0,0,0
